sortie_id,aircraft_id,type_id,battery_id,start_s,stop_sequence,stops,n_boxes,mass_kg,volume_m3,duration_s,return_s,return_soc_pct,recharge_s,energy_kwh
F01,U01,A,BA01,0.0,O01→S001→O01,S001(2箱),2,22.0,0.055,1266.57,1266.57,71.358,872.349,1.2889
F02,U02,A,BA02,0.0,O01→S001→O01,S001(2箱),2,22.0,0.055,1266.57,1266.57,71.358,872.349,1.2889
F03,U03,A,BA03,0.0,O01→S007→O01,S007(2箱),2,22.0,0.055,1738.156,1738.156,56.102,1070.68,1.97543
F04,U04,A,BA04,1.0,O01→S001→O01,S001(2箱),2,22.0,0.055,1266.57,1267.57,71.358,872.349,1.2889
F05,U05,B,BB01,1.0,O01→S013→O01,S013(3箱),3,25.0,0.067,1510.47,1511.47,54.381,1457.393,1.82475
F06,U06,B,BB02,1.0,O01→S014→O01,S014(3箱),3,25.0,0.067,1869.752,1870.752,46.491,1594.163,2.14038
F07,U07,C,BC01,1.0,O01→S001→O01,S001(8箱),8,74.0,0.202,1645.4,1646.4,64.315,1606.51,2.8548
F08,U08,C,BC02,1.0,O01→S006→O01,S006(6箱),6,59.0,0.156,1565.731,1566.731,67.503,1537.436,2.59976
F09,U01,A,BA05,1267.0,O01→S002→O01,S002(1箱),1,14.0,0.027,1947.058,3214.058,36.161,1329.906,2.87275
F10,U02,A,BA06,1267.0,O01→S007→O01,S007(2箱),2,17.0,0.039,1738.156,3005.156,57.562,1051.695,1.90971
F11,U05,B,BB03,1512.0,O01→S012→O01,S012(3箱),3,25.0,0.067,1942.959,3454.959,30.988,1862.878,2.76049
F12,U08,C,BC03,1567.0,O01→S003→O01,S003(6箱),6,65.0,0.155,2461.49,4028.49,22.293,2516.993,6.21659
F13,U07,C,BC04,1647.0,O01→S002→O01,S002(7箱),7,67.0,0.184,2177.887,3824.887,21.468,2534.869,6.28259
F14,U06,B,BB04,1871.0,O01→S010→O01,S010(3箱),3,25.0,0.067,1555.377,3426.377,54.42,1456.715,1.82319
F15,U04,A,BA01,2139.0,O01→S001→O01,S001(1箱),1,14.0,0.027,1206.57,3345.57,72.761,854.107,1.22576
F16,U03,A,BA02,2139.0,O01→S007→O01,S007(1箱),1,6.0,0.035,1678.156,3817.156,59.779,1022.879,1.80997
F17,U02,A,BA04,3006.0,O01→S003→O01,S003(2箱),2,16.0,0.056,2283.333,5289.333,33.939,1358.788,2.97273
F18,U01,A,BA03,3215.0,O01→S008→O01,S008(1箱),1,14.0,0.027,2111.404,5326.404,30.076,1409.018,3.1466
F19,U06,B,BB01,3427.0,O01→S009→O01,S009(3箱),3,25.0,0.067,1558.442,4985.442,47.594,1575.035,2.09624
F20,U05,B,BB02,3465.0,O01→S015→O01,S015(3箱),3,25.0,0.067,1837.491,5302.491,42.221,1668.172,2.31117
F21,U07,C,BC02,3825.0,O01→S005→S008→O01,S005(4箱); S008(4箱),8,62.0,0.204,2708.576,6533.576,20.976,2545.524,6.32193
F22,U08,C,BC01,4030.0,O01→S004→O01,S004(6箱),6,59.0,0.156,2315.411,6345.411,23.013,2501.384,6.15896
F23,U06,B,BB04,4986.0,O01→S005→O01,S005(2箱),2,28.0,0.054,1516.175,6502.175,47.846,1570.665,2.08615
F24,U05,B,BB03,5318.0,O01→S011→O01,S011(3箱),3,25.0,0.067,1188.424,6506.424,73.151,1132.049,1.07396
