sortie_id,aircraft_id,type_id,event,start_s,end_s,duration_s
F01,U01,A,准备-装载-飞行-交接-返场,0.0,1266.57,1266.57
F02,U02,A,准备-装载-飞行-交接-返场,0.0,1266.57,1266.57
F03,U03,A,准备-装载-飞行-交接-返场,0.0,1266.57,1266.57
F04,U05,B,准备-装载-飞行-交接-返场,0.0,1555.377,1555.377
F05,U06,B,准备-装载-飞行-交接-返场,0.0,1942.959,1942.959
F06,U07,C,准备-装载-飞行-交接-返场,0.0,1579.4,1579.4
F07,U08,C,准备-装载-飞行-交接-返场,0.0,2111.887,2111.887
F08,U05,B,准备-装载-飞行-交接-返场,1556.0,3066.47,1510.47
F09,U07,C,准备-装载-飞行-交接-返场,1580.0,4203.511,2623.511
F10,U06,B,准备-装载-飞行-交接-返场,1943.0,3812.752,1869.752
F11,U08,C,准备-装载-飞行-交接-返场,2112.0,3677.731,1565.731
F12,U05,B,准备-装载-飞行-交接-返场,3067.0,4969.101,1902.101
F13,U08,C,准备-装载-飞行-交接-返场,3678.0,5555.195,1877.195
F14,U06,B,准备-装载-飞行-交接-返场,3813.0,5794.222,1981.222
F15,U07,C,准备-装载-飞行-交接-返场,4647.0,7174.49,2527.49
F16,U05,B,准备-装载-飞行-交接-返场,4970.0,6730.014,1760.014
F17,U08,C,准备-装载-飞行-交接-返场,5556.0,7871.411,2315.411
F18,U06,B,准备-装载-飞行-交接-返场,5795.0,7757.101,1962.101
F19,U05,B,准备-装载-飞行-交接-返场,6834.0,8022.424,1188.424
F20,U06,B,准备-装载-飞行-交接-返场,7758.0,9316.442,1558.442
F21,U05,B,准备-装载-飞行-交接-返场,8421.0,9585.77,1164.77
