sortie_id,battery_id,type_id,assign_s,return_s,return_soc_pct,recharge_s,charge_end_s
F01,BA01,A,0.0,1266.57,71.358,872.349,2138.918
F02,BA02,A,0.0,1266.57,71.358,872.349,2138.918
F03,BA03,A,0.0,1266.57,71.358,872.349,2138.918
F04,BB01,B,0.0,1555.377,54.42,1456.715,3012.092
F05,BB02,B,0.0,1942.959,30.988,1862.878,3805.837
F06,BC01,C,0.0,1579.4,63.421,1625.877,3205.277
F07,BC02,C,0.0,2111.887,21.468,2534.869,4646.756
F08,BB03,B,1556.0,3066.47,54.381,1457.393,4523.864
F09,BC03,C,1580.0,4203.511,32.653,2292.528,6496.039
F10,BB04,B,1943.0,3812.752,46.491,1594.163,5406.916
F11,BC04,C,2112.0,3677.731,67.503,1537.436,5215.168
F12,BB01,B,3067.0,4969.101,30.911,1864.213,6833.313
F13,BC01,C,3678.0,5555.195,47.222,1976.851,7532.046
F14,BB02,B,3813.0,5794.222,39.204,1720.468,7514.69
F15,BC02,C,4647.0,7174.49,20.81,2549.121,9723.611
F16,BB03,B,4970.0,6730.014,40.938,1690.415,8420.429
F17,BC04,C,5556.0,7871.411,23.013,2501.384,10372.795
F18,BB04,B,5795.0,7757.101,25.616,1955.984,9713.085
F19,BB01,B,6834.0,8022.424,73.151,1132.049,9154.473
F20,BB02,B,7758.0,9316.442,47.594,1575.035,10891.477
F21,BB03,B,8421.0,9585.77,75.109,1098.108,10683.878
