box_id,sortie_id,zone_id,deliver_s,deliver_offset_s,expected_s,hard_deadline_s,hard_slack_s,category,mass_kg,priority,soft_tardiness_s
S001-WAT-06,F01,S001,916.408,916.408,3600.0,,,饮用水,14.0,12.0,0.0
S001-FOD-03,F01,S001,916.408,916.408,7200.0,,,应急食品,8.0,10.0,0.0
S001-WAT-07,F02,S001,916.408,916.408,3600.0,,,饮用水,14.0,12.0,0.0
S001-FOD-01,F02,S001,916.408,916.408,7200.0,,,应急食品,8.0,10.0,0.0
S001-WAT-08,F03,S001,916.408,916.408,3600.0,,,饮用水,14.0,12.0,0.0
S001-FOD-02,F03,S001,916.408,916.408,7200.0,,,应急食品,8.0,10.0,0.0
S010-MED-01,F04,S010,1085.225,1085.225,3600.0,3600.0,2514.775,医疗物资,3.0,24.0,0.0
S010-WAT-01,F04,S010,1085.225,1085.225,3600.0,3600.0,2514.775,饮用水,14.0,12.0,0.0
S010-FOD-01,F04,S010,1085.225,1085.225,7200.0,,,应急食品,8.0,10.0,0.0
S012-MED-01,F05,S012,1281.409,1281.409,7200.0,3600.0,2318.591,医疗物资,3.0,22.0,0.0
S012-WAT-01,F05,S012,1281.409,1281.409,3600.0,3600.0,2318.591,饮用水,14.0,12.0,0.0
S012-FOD-01,F05,S012,1281.409,1281.409,7200.0,,,应急食品,8.0,10.0,0.0
S001-MED-01,F06,S001,1257.885,1257.885,3600.0,3600.0,2342.115,医疗物资,3.0,24.0,0.0
S001-MED-02,F06,S001,1257.885,1257.885,3600.0,3600.0,2342.115,医疗物资,3.0,24.0,0.0
S001-WAT-01,F06,S001,1257.885,1257.885,3600.0,3600.0,2342.115,饮用水,14.0,12.0,0.0
S001-WAT-02,F06,S001,1257.885,1257.885,3600.0,,,饮用水,14.0,12.0,0.0
S001-WAT-03,F06,S001,1257.885,1257.885,3600.0,,,饮用水,14.0,12.0,0.0
S001-WAT-04,F06,S001,1257.885,1257.885,3600.0,,,饮用水,14.0,12.0,0.0
S001-WAT-05,F06,S001,1257.885,1257.885,3600.0,,,饮用水,14.0,12.0,0.0
S002-MED-01,F07,S002,1489.353,1489.353,3600.0,3600.0,2110.647,医疗物资,3.0,24.0,0.0
S002-WAT-01,F07,S002,1489.353,1489.353,3600.0,3600.0,2110.647,饮用水,14.0,12.0,0.0
S002-WAT-02,F07,S002,1489.353,1489.353,3600.0,,,饮用水,14.0,12.0,0.0
S002-WAT-03,F07,S002,1489.353,1489.353,3600.0,,,饮用水,14.0,12.0,0.0
S002-WAT-04,F07,S002,1489.353,1489.353,3600.0,,,饮用水,14.0,12.0,0.0
S002-FOD-01,F07,S002,1489.353,1489.353,7200.0,,,应急食品,8.0,10.0,0.0
S013-MED-01,F08,S013,2618.768,1062.768,3600.0,3600.0,981.232,医疗物资,3.0,24.0,0.0
S013-WAT-01,F08,S013,2618.768,1062.768,3600.0,3600.0,981.232,饮用水,14.0,12.0,0.0
S013-FOD-01,F08,S013,2618.768,1062.768,7200.0,,,应急食品,8.0,10.0,0.0
S007-MED-01,F09,S007,3024.326,1444.326,3600.0,3600.0,575.674,医疗物资,3.0,24.0,0.0
S007-WAT-01,F09,S007,3024.326,1444.326,3600.0,3600.0,575.674,饮用水,14.0,12.0,0.0
S007-HYG-01,F09,S007,3024.326,1444.326,10800.0,,,生活卫生用品,6.0,8.0,0.0
S007-FOD-01,F09,S007,3024.326,1444.326,7200.0,,,应急食品,8.0,10.0,0.0
S007-WAT-02,F09,S007,3024.326,1444.326,3600.0,,,饮用水,14.0,12.0,0.0
S015-MED-01,F09,S015,3536.264,1956.264,7200.0,7200.0,3663.736,医疗物资,3.0,18.0,0.0
S015-WAT-01,F09,S015,3536.264,1956.264,10800.0,10800.0,7263.736,饮用水,14.0,8.0,0.0
S015-FOD-01,F09,S015,3536.264,1956.264,14400.0,,,应急食品,8.0,6.0,0.0
S014-MED-01,F10,S014,3185.433,1242.433,7200.0,3600.0,414.567,医疗物资,3.0,22.0,0.0
S014-WAT-01,F10,S014,3185.433,1242.433,3600.0,3600.0,414.567,饮用水,14.0,12.0,0.0
S014-FOD-01,F10,S014,3185.433,1242.433,7200.0,,,应急食品,8.0,10.0,0.0
S006-MED-01,F11,S006,3323.511,1211.511,3600.0,3600.0,276.489,医疗物资,3.0,24.0,0.0
S006-WAT-01,F11,S006,3323.511,1211.511,3600.0,3600.0,276.489,饮用水,14.0,12.0,0.0
S006-HYG-01,F11,S006,3323.511,1211.511,10800.0,,,生活卫生用品,6.0,8.0,0.0
S006-FOD-01,F11,S006,3323.511,1211.511,7200.0,,,应急食品,8.0,10.0,0.0
S006-WAT-03,F11,S006,3323.511,1211.511,3600.0,,,饮用水,14.0,12.0,0.0
S006-WAT-02,F11,S006,3323.511,1211.511,3600.0,,,饮用水,14.0,12.0,0.0
S008-WAT-02,F12,S008,4298.277,1231.277,7200.0,,,饮用水,14.0,10.0,0.0
S008-HYG-01,F12,S008,4298.277,1231.277,14400.0,,,生活卫生用品,6.0,6.0,0.0
S005-MED-01,F13,S005,5051.233,1373.233,10800.0,10800.0,5748.767,医疗物资,3.0,16.0,0.0
S005-WAT-01,F13,S005,5051.233,1373.233,10800.0,10800.0,5748.767,饮用水,14.0,8.0,0.0
S005-HYG-01,F13,S005,5051.233,1373.233,18000.0,,,生活卫生用品,6.0,4.0,0.0
S005-FOD-01,F13,S005,5051.233,1373.233,14400.0,,,应急食品,8.0,6.0,0.0
S005-WAT-03,F13,S005,5051.233,1373.233,10800.0,,,饮用水,14.0,8.0,0.0
S005-WAT-02,F13,S005,5051.233,1373.233,10800.0,,,饮用水,14.0,8.0,0.0
S003-WAT-02,F14,S003,5051.584,1238.584,7200.0,,,饮用水,14.0,10.0,0.0
S003-MED-01,F15,S003,6371.205,1724.205,7200.0,7200.0,828.795,医疗物资,3.0,20.0,0.0
S003-WAT-01,F15,S003,6371.205,1724.205,7200.0,7200.0,828.795,饮用水,14.0,10.0,0.0
S003-HYG-01,F15,S003,6371.205,1724.205,14400.0,,,生活卫生用品,6.0,6.0,0.0
S003-FOD-02,F15,S003,6371.205,1724.205,10800.0,,,应急食品,8.0,8.0,0.0
S003-FOD-01,F15,S003,6371.205,1724.205,10800.0,,,应急食品,8.0,8.0,0.0
S003-WAT-04,F15,S003,6371.205,1724.205,7200.0,,,饮用水,14.0,10.0,0.0
