sortie_id,leg_no,from_node,to_node,d_km,cruise_z_m,h_up_m,h_dn_m,payload_kg,time_s,energy_kwh
F01,1,O01,S001,3.054,283.74,156.04,99.74,22.0,346.408,0.712758
F01,2,S001,O01,3.054,283.74,99.74,156.04,0.0,350.161,0.576142
F02,1,O01,S001,3.054,283.74,156.04,99.74,22.0,346.408,0.712758
F02,2,S001,O01,3.054,283.74,99.74,156.04,0.0,350.161,0.576142
F03,1,O01,S001,3.054,283.74,156.04,99.74,22.0,346.408,0.712758
F03,2,S001,O01,3.054,283.74,99.74,156.04,0.0,350.161,0.576142
F04,1,O01,S010,4.7845,435.64,307.94,84.04,25.0,455.225,1.119019
F04,2,S010,O01,4.7845,435.64,84.04,307.94,0.0,470.152,0.70417
F05,1,O01,S012,7.3904,427.09,299.39,147.29,25.0,651.409,1.668475
F05,2,S012,O01,7.3904,427.09,147.29,299.39,0.0,661.549,1.092013
F06,1,O01,S001,3.054,283.74,156.04,99.74,76.0,315.885,1.960242
F06,2,S001,O01,3.054,283.74,99.74,156.04,0.0,321.515,0.966075
F07,1,O01,S002,7.4113,311.22,183.52,91.72,67.0,613.353,3.977928
F07,2,S002,O01,7.4113,311.22,91.72,183.52,0.0,622.533,2.304667
F08,1,O01,S013,4.8492,399.18,271.48,47.48,25.0,432.768,1.120326
F08,2,S013,O01,4.8492,399.18,47.48,271.48,0.0,447.702,0.704428
F09,1,O01,S007,4.5345,519.28,391.58,170.78,70.0,544.326,2.702061
F09,2,S007,S015,2.2194,502.92,154.42,28.42,25.0,223.937,0.809265
F09,3,S015,O01,6.0095,578.07,103.57,450.37,0.0,667.248,1.876469
F10,1,O01,S014,5.4196,591.95,464.25,240.95,25.0,612.433,1.306878
F10,2,S014,O01,5.4196,591.95,240.95,464.25,0.0,627.319,0.833499
F11,1,O01,S006,3.1863,368.42,240.72,53.62,59.0,335.511,1.605196
F11,2,S006,O01,3.1863,368.42,53.62,240.72,0.0,354.221,0.994569
F12,1,O01,S008,8.0791,373.09,245.39,102.19,20.0,661.277,1.584271
F12,2,S008,O01,8.0791,373.09,102.19,245.39,0.0,670.824,1.179298
F13,1,O01,S005,5.2806,326.41,198.71,131.41,59.0,497.233,2.562642
F13,2,S005,O01,5.2806,326.41,131.41,198.71,0.0,503.963,1.659578
F14,1,O01,S003,7.2633,575.9,448.2,237.4,14.0,728.584,1.335827
F14,2,S003,O01,7.2633,575.9,237.4,448.2,0.0,742.638,1.096021
F15,1,O01,S003,7.2633,575.9,448.2,237.4,67.0,782.205,4.037541
F15,2,S003,O01,7.2633,575.9,237.4,448.2,0.0,803.285,2.297676
F16,1,O01,S002,7.4113,311.22,183.52,91.72,14.0,591.947,1.281174
F16,2,S002,O01,7.4113,311.22,91.72,183.52,0.0,598.067,1.081322
F17,1,O01,S004,7.7147,406.21,278.51,177.91,59.0,714.675,3.738126
F17,2,S004,O01,7.7147,406.21,177.91,278.51,0.0,724.735,2.42083
F18,1,O01,S008,8.0791,373.09,245.39,102.19,25.0,661.277,1.796051
F18,2,S008,O01,8.0791,373.09,102.19,245.39,0.0,670.824,1.179298
F19,1,O01,S011,2.8081,295.36,167.66,83.26,25.0,276.398,0.65232
F19,2,S011,O01,2.8081,295.36,83.26,167.66,0.0,282.025,0.42164
F20,1,O01,S009,5.7051,293.23,165.53,63.23,25.0,460.811,1.265659
F20,2,S009,O01,5.7051,293.23,63.23,165.53,0.0,467.631,0.830576
F21,1,O01,S001,3.054,283.74,156.04,99.74,12.0,295.508,0.534812
F21,2,S001,O01,3.054,283.74,99.74,156.04,0.0,299.262,0.460821
